[PC Hunter Standard][DNF.exe-->Ring3 Hook]: 1051
挂钩对象		挂钩位置		钩子类型		挂钩处当前值		挂钩处原始值
TerSafe.dll->KERNEL32.dll:IsBadWritePtr		0x0000000077181450->0x00000000099B1450		Iat		50 14 9B 09		50 14 18 77
[*]TerSafe.dll->KERNEL32.dll:FindFirstFileA		0x0000000077193C50->0x00000000099C3C50		Iat		50 3C 9C 09		50 3C 19 77
TerSafe.dll->KERNEL32.dll:QueryDosDeviceA		0x00000000771CB0A0->0x00000000099FB0A0		Iat		A0 B0 9F 09		A0 B0 1C 77
[*]TerSafe.dll->KERNEL32.dll:GetWindowsDirectoryA		0x0000000077192900->0x00000000099C2900		Iat		00 29 9C 09		00 29 19 77
TerSafe.dll->KERNEL32.dll:GetTempPathA		0x0000000077193E80->0x00000000099C3E80		Iat		80 3E 9C 09		80 3E 19 77
[*]TerSafe.dll->KERNEL32.dll:GetLogicalDriveStringsA		0x00000000771CD9C0->0x00000000099FD9C0		Iat		C0 D9 9F 09		C0 D9 1C 77
TerSafe.dll->KERNEL32.dll:SetEndOfFile		0x0000000077193F80->0x00000000099C3F80		Iat		80 3F 9C 09		80 3F 19 77
[*]TerSafe.dll->KERNEL32.dll:SetFileAttributesW		0x0000000077193FA0->0x00000000099C3FA0		Iat		A0 3F 9C 09		A0 3F 19 77
TerSafe.dll->KERNEL32.dll:GetFileAttributesExW		0x0000000077193DA0->0x00000000099C3DA0		Iat		A0 3D 9C 09		A0 3D 19 77
[*]TerSafe.dll->KERNEL32.dll:SetStdHandle		0x00000000771A5C90->0x00000000099D5C90		Iat		90 5C 9D 09		90 5C 1A 77
TerSafe.dll->KERNEL32.dll:GetFullPathNameA		0x0000000077193E30->0x00000000099C3E30		Iat		30 3E 9C 09		30 3E 19 77
[*]TerSafe.dll->KERNEL32.dll:GetFullPathNameW		0x0000000077193E40->0x00000000099C3E40		Iat		40 3E 9C 09		40 3E 19 77
TerSafe.dll->KERNEL32.dll:GetCurrentDirectoryW		0x0000000077189200->0x00000000099B9200		Iat		00 92 9B 09		00 92 18 77
[*]TerSafe.dll->KERNEL32.dll:GetVolumeInformationA		0x0000000077193EA0->0x00000000099C3EA0		Iat		A0 3E 9C 09		A0 3E 19 77
TerSafe.dll->KERNEL32.dll:IsBadCodePtr		0x0000000077181520->0x00000000099B1520		Iat		20 15 9B 09		20 15 18 77
[*]TerSafe.dll->KERNEL32.dll:GetDriveTypeW		0x0000000077193D70->0x00000000099C3D70		Iat		70 3D 9C 09		70 3D 19 77
TerSafe.dll->KERNEL32.dll:WideCharToMultiByte		0x000000007718F000->0x00000000099BF000		Iat		00 F0 9B 09		00 F0 18 77
TerSafe.dll->KERNEL32.dll:HeapFree		0x000000007718EF70->0x00000000099BEF70		Iat		70 EF 9B 09		70 EF 18 77
[*]TerSafe.dll->KERNEL32.dll:SetCurrentDirectoryW		0x00000000771899D0->0x00000000099B99D0		Iat		D0 99 9B 09		D0 99 18 77
[*]TerSafe.dll->KERNEL32.dll:SetEnvironmentVariableW		0x00000000771888B0->0x00000000099B88B0		Iat		B0 88 9B 09		B0 88 18 77
TerSafe.dll->KERNEL32.dll:SetEnvironmentVariableA		0x00000000771A5B30->0x00000000099D5B30		Iat		30 5B 9D 09		30 5B 1A 77
[*]TerSafe.dll->KERNEL32.dll:FreeEnvironmentStringsW		0x00000000771926D0->0x00000000099C26D0		Iat		D0 26 9C 09		D0 26 19 77
TerSafe.dll->KERNEL32.dll:GetEnvironmentStringsW		0x0000000077192980->0x00000000099C2980		Iat		80 29 9C 09		80 29 19 77
[*]TerSafe.dll->KERNEL32.dll:GetOEMCP		0x0000000077192BE0->0x00000000099C2BE0		Iat		E0 2B 9C 09		E0 2B 19 77
TerSafe.dll->KERNEL32.dll:IsValidCodePage		0x0000000077192370->0x00000000099C2370		Iat		70 23 9C 09		70 23 19 77
[*]TerSafe.dll->KERNEL32.dll:FindNextFileW		0x0000000077193CE0->0x00000000099C3CE0		Iat		E0 3C 9C 09		E0 3C 19 77
TerSafe.dll->KERNEL32.dll:FindNextFileA		0x0000000077193CC0->0x00000000099C3CC0		Iat		C0 3C 9C 09		C0 3C 19 77
[*]TerSafe.dll->KERNEL32.dll:FindFirstFileExW		0x0000000077193C70->0x00000000099C3C70		Iat		70 3C 9C 09		70 3C 19 77
TerSafe.dll->KERNEL32.dll:FindFirstFileExA		0x0000000077193C60->0x00000000099C3C60		Iat		60 3C 9C 09		60 3C 19 77
[*]TerSafe.dll->KERNEL32.dll:FindClose		0x0000000077193C10->0x00000000099C3C10		Iat		10 3C 9C 09		10 3C 19 77
TerSafe.dll->KERNEL32.dll:GetProcessHeap		0x0000000077190590->0x00000000099C0590		Iat		90 05 9C 09		90 05 19 77
[*]TerSafe.dll->KERNEL32.dll:GetConsoleCP		0x0000000077194320->0x00000000099C4320		Iat		20 43 9C 09		20 43 19 77
TerSafe.dll->KERNEL32.dll:FlushFileBuffers		0x0000000077193D10->0x00000000099C3D10		Iat		10 3D 9C 09		10 3D 19 77
[*]TerSafe.dll->KERNEL32.dll:ReadConsoleW		0x00000000771943B0->0x00000000099C43B0		Iat		B0 43 9C 09		B0 43 19 77
TerSafe.dll->KERNEL32.dll:EnumSystemLocalesW		0x000000007718A0F0->0x00000000099BA0F0		Iat		F0 A0 9B 09		F0 A0 18 77
