[PC Hunter Standard][IDT]: 1536
Cpu序号		序号		函数名称		段选择子		当前函数地址		Hook		原始函数地址		当前函数地址所在模块
0		61		KiUnexpectedInterrupt49		0x02		0xFFFFF80460131588		-		0xFFFFF80460131588		C:\Windows\system32\ntoskrnl.exe
0		62		KiUnexpectedInterrupt50		0x02		0xFFFFF80460131590		-		0xFFFFF80460131590		C:\Windows\system32\ntoskrnl.exe
0		63		KiUnexpectedInterrupt51		0x02		0xFFFFF80460131598		-		0xFFFFF80460131598		C:\Windows\system32\ntoskrnl.exe
0		64		KiUnexpectedInterrupt52		0x02		0xFFFFF804601315A0		-		0xFFFFF804601315A0		C:\Windows\system32\ntoskrnl.exe
0		65		KiUnexpectedInterrupt53		0x02		0xFFFFF804601315A8		-		0xFFFFF804601315A8		C:\Windows\system32\ntoskrnl.exe
0		66		KiUnexpectedInterrupt54		0x02		0xFFFFF804601315B0		-		0xFFFFF804601315B0		C:\Windows\system32\ntoskrnl.exe
0		67		KiUnexpectedInterrupt55		0x02		0xFFFFF804601315B8		-		0xFFFFF804601315B8		C:\Windows\system32\ntoskrnl.exe
0		68		KiUnexpectedInterrupt56		0x02		0xFFFFF804601315C0		-		0xFFFFF804601315C0		C:\Windows\system32\ntoskrnl.exe
0		69		KiUnexpectedInterrupt57		0x02		0xFFFFF804601315C8		-		0xFFFFF804601315C8		C:\Windows\system32\ntoskrnl.exe
0		6A		KiUnexpectedInterrupt58		0x02		0xFFFFF804601315D0		-		0xFFFFF804601315D0		C:\Windows\system32\ntoskrnl.exe
0		6B		KiUnexpectedInterrupt59		0x02		0xFFFFF804601315D8		-		0xFFFFF804601315D8		C:\Windows\system32\ntoskrnl.exe
0		6C		KiUnexpectedInterrupt60		0x02		0xFFFFF804601315E0		-		0xFFFFF804601315E0		C:\Windows\system32\ntoskrnl.exe
0		6D		KiUnexpectedInterrupt61		0x02		0xFFFFF804601315E8		-		0xFFFFF804601315E8		C:\Windows\system32\ntoskrnl.exe
0		6E		KiUnexpectedInterrupt62		0x02		0xFFFFF804601315F0		-		0xFFFFF804601315F0		C:\Windows\system32\ntoskrnl.exe
0		6F		KiUnexpectedInterrupt63		0x02		0xFFFFF804601315F8		-		0xFFFFF804601315F8		C:\Windows\system32\ntoskrnl.exe
0		70		KiUnexpectedInterrupt64		0x02		0xFFFFF80460131600		-		0xFFFFF80460131600		C:\Windows\system32\ntoskrnl.exe
0		71		KiUnexpectedInterrupt65		0x02		0xFFFFF80460131608		-		0xFFFFF80460131608		C:\Windows\system32\ntoskrnl.exe
0		72		KiUnexpectedInterrupt66		0x02		0xFFFFF80460131610		-		0xFFFFF80460131610		C:\Windows\system32\ntoskrnl.exe
0		73		KiUnexpectedInterrupt67		0x02		0xFFFFF80460131618		-		0xFFFFF80460131618		C:\Windows\system32\ntoskrnl.exe
0		74		KiUnexpectedInterrupt68		0x02		0xFFFFF80460131620		-		0xFFFFF80460131620		C:\Windows\system32\ntoskrnl.exe
0		75		KiUnexpectedInterrupt69		0x02		0xFFFFF80460131628		-		0xFFFFF80460131628		C:\Windows\system32\ntoskrnl.exe
0		76		KiUnexpectedInterrupt70		0x02		0xFFFFF80460131630		-		0xFFFFF80460131630		C:\Windows\system32\ntoskrnl.exe
0		77		KiUnexpectedInterrupt71		0x02		0xFFFFF80460131638		-		0xFFFFF80460131638		C:\Windows\system32\ntoskrnl.exe
0		78		KiUnexpectedInterrupt72		0x02		0xFFFFF80460131640		-		0xFFFFF80460131640		C:\Windows\system32\ntoskrnl.exe
0		79		KiUnexpectedInterrupt73		0x02		0xFFFFF80460131648		-		0xFFFFF80460131648		C:\Windows\system32\ntoskrnl.exe
0		7A		KiUnexpectedInterrupt74		0x02		0xFFFFF80460131650		-		0xFFFFF80460131650		C:\Windows\system32\ntoskrnl.exe
0		7B		KiUnexpectedInterrupt75		0x02		0xFFFFF80460131658		-		0xFFFFF80460131658		C:\Windows\system32\ntoskrnl.exe
0		7C		KiUnexpectedInterrupt76		0x02		0xFFFFF80460131660		-		0xFFFFF80460131660		C:\Windows\system32\ntoskrnl.exe
0		7D		KiUnexpectedInterrupt77		0x02		0xFFFFF80460131668		-		0xFFFFF80460131668		C:\Windows\system32\ntoskrnl.exe
0		7E		KiUnexpectedInterrupt78		0x02		0xFFFFF80460131670		-		0xFFFFF80460131670		C:\Windows\system32\ntoskrnl.exe
0		7F		KiUnexpectedInterrupt79		0x02		0xFFFFF80460131678		-		0xFFFFF80460131678		C:\Windows\system32\ntoskrnl.exe
0		80		KiUnexpectedInterrupt80		0x02		0xFFFFF80460131680		-		0xFFFFF80460131680		C:\Windows\system32\ntoskrnl.exe
0		81		KiUnexpectedInterrupt81		0x02		0xFFFFF80460131688		-		0xFFFFF80460131688		C:\Windows\system32\ntoskrnl.exe
