[PC Hunter Standard][ObjectType Hook]: 384
函数名		当前函数地址		Hook		原始函数地址		Object类型		Object地址		当前函数地址所在模块
DeleteProcedure		0xFFFFF804603D3EF0		-		-		EtwConsumer		0xFFFFCD87EABFB380		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		EtwConsumer		0xFFFFCD87EABFB380		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF804603B4B80		-		-		Composition		0xFFFFCD87EAAF5560		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF804603B6680		-		-		Composition		0xFFFFCD87EAAF5560		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804603C4480		-		-		Composition		0xFFFFCD87EAAF5560		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		Composition		0xFFFFCD87EAAF5560		C:\Windows\system32\ntoskrnl.exe
OkayToCloseProcedure		0xFFFFF804603B5530		-		-		Composition		0xFFFFCD87EAAF5560		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF804606CAC50		-		-		CoverageSampler		0xFFFFCD87EABFB4E0		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804606CAD20		-		-		CoverageSampler		0xFFFFCD87EABFB4E0		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		CoverageSampler		0xFFFFCD87EABFB4E0		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF804603B63B0		-		-		EtwSessionDemuxEntry		0xFFFFCD87EABFC6C0		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804606C29B0		-		-		EtwSessionDemuxEntry		0xFFFFCD87EABFC6C0		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		EtwSessionDemuxEntry		0xFFFFCD87EABFC6C0		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF804603B4B80		-		-		CoreMessaging		0xFFFFCD87EAAF4380		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF804603B6680		-		-		CoreMessaging		0xFFFFCD87EAAF4380		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804603C4480		-		-		CoreMessaging		0xFFFFCD87EAAF4380		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		CoreMessaging		0xFFFFCD87EAAF4380		C:\Windows\system32\ntoskrnl.exe
OkayToCloseProcedure		0xFFFFF804603B5530		-		-		CoreMessaging		0xFFFFCD87EAAF4380		C:\Windows\system32\ntoskrnl.exe
